agent_id,region,prefecture,commune,canton,operateur_source,sert_togocom,sert_moov,lon,lat,classe_operateur,unite_commune,prefecture_geom,coherence_geo,dist_km_BQ_ACT,dist_km_BQ_NR,dist_km_BQ_NOP,dist_km_MF_ACT,dist_km_MF_NR,dist_km_MF_NOP,dist_km_MU_ACT,dist_km_MU_NR,dist_km_MU_NOP,dist_km_AS_ACT,dist_km_AS_NR,dist_km_AS_NOP
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e95,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Nayéga,"Moov, Togocom",True,True,0.4091616666666667,10.751848333333331,Moov + Togocom,Kpendjal-Ouest 1,Kpendjal-Ouest,Concordant,22.775,57.729,219.591,3.625,22.707,15.87,491.656,507.665,,157.434,157.875,367.809
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e96,Savanes,Tône,Tône 1,Dapaong,Togocom,True,False,0.2020216666666666,10.865521666666666,Togocom seul,Tône 1,Tône,Concordant,0.11,33.004,234.946,0.231,0.637,21.195,510.296,524.8,,180.698,181.192,385.642
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e97,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.2020533333333333,10.865516666666668,Moov + Togocom,Tône 1,Tône,Concordant,0.107,33.006,234.945,0.234,0.639,21.192,510.294,524.799,,180.695,181.189,385.64
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e98,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.2017816666666667,10.865371666666666,Moov + Togocom,Tône 1,Tône,Concordant,0.138,33.001,234.934,0.204,0.636,21.224,510.288,524.79,,180.7,181.194,385.633
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e99,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.20137,10.866153333333333,Moov + Togocom,Tône 1,Tône,Concordant,0.194,32.905,235.028,0.182,0.539,21.255,510.384,524.885,,180.796,181.291,385.728
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e9a,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.2026883333333333,10.864476666666667,Moov + Togocom,Tône 1,Tône,Concordant,0.123,33.14,234.819,0.202,0.774,21.141,510.163,524.67,,180.561,181.055,385.51
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e9b,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.2026296669965144,10.864457306134542,Moov + Togocom,Tône 1,Tône,Concordant,0.127,33.138,234.818,0.203,0.772,21.148,510.163,524.669,,180.563,181.057,385.51
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e9c,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.19946,10.864713333333334,Moov + Togocom,Tône 1,Tône,Concordant,0.401,32.906,234.905,0.086,0.617,21.485,510.296,524.777,,180.792,181.287,385.631
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e9d,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.20313,10.864866666666668,Moov + Togocom,Tône 1,Tône,Concordant,0.074,33.135,234.854,0.23,0.768,21.087,510.189,524.701,,180.567,181.061,385.539
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e9e,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.2032233333333333,10.864973333333333,Moov + Togocom,Tône 1,Tône,Concordant,0.065,33.132,234.864,0.241,0.766,21.075,510.197,524.71,,180.571,181.064,385.547
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7e9f,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Moov,False,True,0.1919290572081031,11.012449060371543,Moov seul,Cinkassé 2,Cinkassé,Concordant,14.336,21.41,251.24,6.787,15.834,25.703,526.2,540.96,,194.679,195.137,401.681
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ea0,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.19793,10.864121666666666,Moov + Togocom,Tône 1,Tône,Concordant,0.579,32.858,234.869,0.256,0.681,21.66,510.285,524.751,,180.839,181.335,385.613
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ea1,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.1995246969729944,10.868651333587971,Moov + Togocom,Tône 1,Tône,Concordant,0.298,32.562,235.336,0.253,0.197,21.417,510.711,525.201,,181.14,181.634,386.05
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ea2,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.1999333333333334,10.867818333333332,Moov + Togocom,Tône 1,Tône,Concordant,0.301,32.662,235.237,0.275,0.299,21.385,510.609,525.101,,181.039,181.533,385.949
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ea3,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.2044666666666667,10.863693333333334,Moov + Togocom,Tône 1,Tône,Concordant,0.257,33.328,234.701,0.147,0.962,20.963,510.02,524.541,,180.375,180.869,385.374
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ea4,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.1994633333333334,10.868625000000002,Moov + Togocom,Tône 1,Tône,Concordant,0.305,32.56,235.334,0.261,0.196,21.424,510.71,525.2,,181.141,181.635,386.049
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ea5,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.1943983333333333,10.863111666666668,Moov + Togocom,Tône 1,Tône,Concordant,0.98,32.719,234.825,0.652,0.915,22.059,510.296,524.731,,180.98,181.478,385.61
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ea6,Savanes,Tône,Tône 1,Dapaong,Togocom,True,False,0.2040916666666667,10.863585,Togocom seul,Tône 1,Tône,Concordant,0.245,33.312,234.696,0.11,0.945,21.005,510.021,524.538,,180.39,180.884,385.373
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ea7,Savanes,Tône,Tône 4,Korbongou,Moov,False,True,0.3696533333333333,10.942331666666666,Moov seul,Tône 4,Tône,Concordant,19.649,42.271,241.057,7.336,20.32,6.016,513.215,529.28,,177.768,178.173,389.419
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ea8,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.1921566666666667,10.861663333333334,Moov + Togocom,Tône 1,Tône,Concordant,1.263,32.706,234.709,0.941,1.186,22.326,510.219,524.631,,180.998,181.497,385.522
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ea9,Savanes,Tône,Tône 4,Louanga,"Moov, Togocom",True,True,0.3324983333333333,10.892733333333334,Moov + Togocom,Tône 4,Tône,Concordant,14.323,41.43,235.967,13.174,14.828,6.714,509.02,524.675,,175.147,175.582,384.971
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eaa,Savanes,Tône,Tône 4,Louanga,"Moov, Togocom",True,True,0.33101,10.903838333333333,Moov + Togocom,Tône 4,Tône,Concordant,14.493,40.617,237.212,12.726,14.928,6.966,510.252,525.918,,176.28,176.712,386.21
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eab,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",True,True,0.377745,10.725439999999999,Moov + Togocom,Kpendjal-Ouest 1,Kpendjal-Ouest,Concordant,18.81,57.338,216.96,0.901,18.747,18.803,489.778,505.459,,156.876,157.34,365.729
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eac,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,"Moov, Togocom",True,True,0.1797596499930003,11.028229950523473,Moov + Togocom,Cinkassé 2,Cinkassé,Concordant,16.214,19.448,253.19,4.642,17.693,27.755,528.272,542.969,,196.876,197.335,403.724
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ead,Savanes,Tône,Tône 1,Dapaong,Nsp,False,False,0.2036435954424676,10.864215254278882,Non renseigné,Tône 1,Tône,Concordant,0.161,33.227,234.773,0.156,0.86,21.042,510.103,524.618,,180.475,180.969,385.454
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eae,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.19917,10.868955000000001,Moov + Togocom,Tône 1,Tône,Concordant,0.328,32.511,235.375,0.276,0.149,21.451,510.755,525.243,,181.19,181.684,386.093
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eaf,Savanes,Tône,Tône 2,Naki-Ouest,Nsp,False,False,0.093384896667069,10.90627849910268,Non renseigné,Tône 2,Tône,Concordant,11.893,23.148,241.671,11.266,12.175,32.851,518.34,532.042,,191.526,192.047,393.352
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eb0,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.2039571787728624,10.863133222132358,Moov + Togocom,Tône 1,Tône,Concordant,0.285,33.343,234.649,0.065,0.976,21.028,509.978,524.493,,180.358,180.852,385.329
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eb1,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",True,True,0.3799806764482449,10.727152510028883,Moov + Togocom,Kpendjal-Ouest 1,Kpendjal-Ouest,Concordant,19.081,57.368,217.127,0.592,19.018,18.592,489.893,505.597,,156.896,157.358,365.858
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eb2,Savanes,Tône,Tône 3,Warkambou,Togocom,True,False,-0.0347316666666667,10.783750000000001,Togocom seul,Tône 3,Tône,Concordant,26.934,35.702,231.955,6.725,27.242,48.392,510.307,522.613,,190.61,191.205,384.878
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eb3,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Moov,False,True,0.1922254393991932,11.032544777826768,Moov seul,Cinkassé 2,Cinkassé,Concordant,16.565,20.512,253.44,4.909,18.065,26.891,528.323,543.13,,196.518,196.972,403.828
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eb4,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",True,True,0.382567526932995,10.728348957265222,Moov + Togocom,Kpendjal-Ouest 1,Kpendjal-Ouest,Concordant,19.382,57.467,217.233,0.283,19.318,18.438,489.942,505.671,,156.848,157.309,365.922
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eb5,Savanes,Tône,Tône 2,Naki-Ouest,Moov,False,True,0.0914716666666667,10.906164999999998,Moov seul,Tône 2,Tône,Concordant,12.095,23.086,241.703,11.466,12.368,33.059,518.396,532.082,,191.647,192.168,393.402
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eb6,Maritime,Zio,Zio 3,Agbélouvé,Nsp,False,False,1.1673550000000001,6.674436666666666,Non renseigné,Zio 3,Zio,Concordant,0.304,49.516,45.331,0.272,26.774,0.644,47.282,46.976,,30.325,55.475,60.201
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eb7,Maritime,Zio,Zio 3,Agbélouvé,"Moov, Togocom",True,True,1.169835527954165,6.681035540158565,Moov + Togocom,Zio 3,Zio,Concordant,1.056,50.221,46.033,1.032,27.45,1.367,47.912,47.599,,29.585,56.186,60.902
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eb8,Maritime,Zio,Zio 3,Agbélouvé,"Moov, Togocom",True,True,1.1663354799892047,6.6729037819230985,Moov + Togocom,Zio 3,Zio,Concordant,0.21,49.358,45.173,0.176,26.627,0.524,47.15,46.846,,30.498,55.313,60.043
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eb9,Plateaux,Akébou,Akébou 1,Kougnohou,Togocom,True,False,0.7936278586123118,7.647733964939098,Togocom seul,Akébou 1,Akébou,Concordant,21.771,98.231,40.788,0.823,0.693,60.568,157.102,162.717,,39.41,40.91,41.484
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eba,Maritime,Zio,Zio 3,Agbélouvé,"Moov, Togocom",True,True,1.1614733333333334,6.670964999999999,Moov + Togocom,Zio 3,Zio,Concordant,0.709,49.2,45.02,0.692,26.52,0.83,47.099,46.803,,30.735,55.143,59.89
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ebb,Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",True,True,0.0204733333333333,11.098993333333333,Moov + Togocom,Cinkassé 1,Cinkassé,Concordant,0.214,0.37,264.326,0.215,32.024,46.72,541.192,554.784,,213.355,213.851,416.178
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ebc,Savanes,Cinkassé,Cinkassé 2,Biankouri,"Moov, Togocom",True,True,0.05283,11.015391666666668,Moov + Togocom,Cinkassé 2,Cinkassé,Concordant,9.467,10.236,254.476,7.308,22.674,39.622,531.253,544.897,,203.81,204.316,406.252
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ebd,Savanes,Cinkassé,Cinkassé 1,Cinkassé,"Moov, Togocom",True,True,0.0198,11.098811666666666,Moov + Togocom,Cinkassé 1,Cinkassé,Concordant,0.247,0.322,264.323,0.234,32.053,46.775,541.197,554.783,,213.383,213.879,416.181
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ebe,Maritime,Zio,Zio 1,Tsévié,"Moov, Togocom",True,True,1.2108433333333333,6.420000000000001,Moov + Togocom,Zio 1,Zio,Concordant,0.329,20.99,16.792,1.477,0.476,22.413,19.066,18.884,,19.524,27.03,31.605
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ebf,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.2048133333333334,10.864156666666668,Moov + Togocom,Tône 1,Tône,Concordant,0.247,33.31,234.745,0.21,0.951,20.917,510.058,524.582,,180.394,180.888,385.413
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ec0,Savanes,Tône,Tône 1,Toaga,"Moov, Togocom",True,True,0.267025,10.944621666666668,Moov + Togocom,Tône 1,Tône,Concordant,9.979,32.288,242.562,10.62,11.144,14.969,516.581,531.805,,183.863,184.31,392.294
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ec1,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.2044129808458262,10.863586871844447,Moov + Togocom,Tône 1,Tône,Concordant,0.263,33.334,234.69,0.135,0.967,20.971,510.011,524.531,,180.369,180.863,385.364
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ec2,Savanes,Tône,Tône 1,Toaga,"Moov, Togocom",True,True,0.266925,10.944346666666668,Moov + Togocom,Tône 1,Tône,Concordant,9.95,32.295,242.533,10.591,11.114,14.968,516.555,531.777,,183.843,184.291,392.267
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ec3,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",True,True,0.2983533333333333,10.976244999999999,Moov + Togocom,Tône 4,Tône,Concordant,14.879,33.625,245.616,13.821,16.047,13.895,518.979,534.527,,185.001,185.427,394.874
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ec4,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",True,True,0.3798630730591543,10.727067384405697,Moov + Togocom,Kpendjal-Ouest 1,Kpendjal-Ouest,Concordant,19.067,57.366,217.118,0.608,19.004,18.602,489.887,505.59,,156.896,157.358,365.851
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ec5,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.2040113656165219,10.863058844873635,Moov + Togocom,Tône 1,Tône,Concordant,0.295,33.353,234.64,0.066,0.986,21.023,509.968,524.484,,180.348,180.842,385.319
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ec6,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.1967966666666667,10.872485,Moov + Togocom,Tône 1,Tône,Concordant,0.603,32.042,235.806,0.328,0.325,21.661,511.208,525.685,,181.659,182.153,386.542
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ec7,Savanes,Tône,Tône 4,Kantindi,"Moov, Togocom",True,True,0.2675693972280633,10.944003937325009,Moov + Togocom,Tône 4,Tône,Concordant,9.976,32.375,242.486,10.62,11.134,14.888,516.498,531.725,,183.773,184.22,392.213
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ec8,Savanes,Tône,Tône 4,Kantindi,"Moov, Togocom",True,True,0.2674993987542178,10.943975425708386,Moov + Togocom,Tône 4,Tône,Concordant,9.969,32.37,242.484,10.612,11.126,14.894,516.498,531.724,,183.774,184.222,392.212
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ec9,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.2054233333333334,10.864293333333334,Moov + Togocom,Tône 1,Tône,Concordant,0.295,33.339,234.749,0.261,0.989,20.849,510.052,524.582,,180.367,180.86,385.41
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eca,Savanes,Tône,Tône 4,Korbongou,Nsp,False,False,0.3517743875871579,10.910086581295944,Non renseigné,Tône 4,Tône,Concordant,16.844,42.19,237.67,10.39,17.297,4.952,510.293,526.145,,175.682,176.103,386.363
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ecb,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.2038874741730438,10.864781551996135,Moov + Togocom,Tône 1,Tône,Concordant,0.125,33.194,234.831,0.223,0.83,21.006,510.155,524.673,,180.51,181.004,385.507
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ecc,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",True,True,0.092949446818035,10.906370926363968,Moov + Togocom,Tône 2,Tône,Concordant,11.942,23.121,241.691,11.314,12.223,32.899,518.365,532.064,,191.564,192.085,393.376
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ecd,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",True,True,0.1792183333333333,10.854684999999998,Moov + Togocom,Tône 1,Tône,Concordant,2.585,32.553,234.196,2.552,2.736,23.851,509.919,524.206,,181.233,181.739,385.166
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ece,Savanes,Tône,Tône 2,Naki-Ouest,Togocom,True,False,0.0929539586711017,10.906372046964869,Togocom seul,Tône 2,Tône,Concordant,11.941,23.121,241.691,11.314,12.223,32.898,518.365,532.064,,191.564,192.085,393.376
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ecf,Savanes,Tône,Tône 3,Warkambou,Moov,False,True,0.0035433333333333,10.800401666666668,Moov seul,Tône 3,Tône,Concordant,22.415,33.426,232.588,2.359,22.678,43.885,510.561,523.236,,189.05,189.629,385.228
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ed0,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",True,True,0.3588037508670197,10.906378989353229,Moov + Togocom,Tône 4,Kpendjal-Ouest,Préfecture voisine,17.499,43.06,237.185,9.933,17.944,4.088,509.687,525.59,,174.931,175.351,385.787
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ed1,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",True,True,0.3583025944405935,10.906148627185381,Moov + Togocom,Tône 4,Kpendjal-Ouest,Préfecture voisine,17.439,43.026,237.165,9.993,17.884,4.131,509.677,525.575,,174.938,175.357,385.774
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ed2,Savanes,Tône,Tône 4,Korbongou,Moov,False,True,0.3581466708877847,10.90596200924057,Moov seul,Tône 4,Kpendjal-Ouest,Préfecture voisine,17.417,43.022,237.146,10.018,17.863,4.14,509.662,525.558,,174.929,175.349,385.758
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ed3,Savanes,Tône,Tône 4,Kantindi,"Moov, Togocom",True,True,0.2786824147001287,10.894600204043309,Moov + Togocom,Tône 4,Tône,Concordant,8.691,36.573,236.879,8.465,9.15,12.59,510.889,526.099,,178.52,178.976,386.59
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ed4,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",True,True,0.0950041621955588,10.905690638936512,Moov + Togocom,Tône 2,Tône,Concordant,11.706,23.273,241.569,11.079,11.987,32.672,518.221,531.935,,191.365,191.885,393.237
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ed5,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",True,True,0.0934435898356416,10.906217308843761,Moov + Togocom,Tône 2,Tône,Concordant,11.885,23.157,241.663,11.258,12.167,32.844,518.331,532.034,,191.517,192.038,393.343
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ed6,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",True,True,0.092375,10.906816666666668,Moov + Togocom,Tône 2,Tône,Concordant,12.013,23.053,241.753,11.387,12.299,32.964,518.432,532.127,,191.642,192.163,393.441
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ed7,Savanes,Tône,Tône 2,Naki-Ouest,Moov,False,True,0.0922826426327096,10.906604273736766,Moov seul,Tône 2,Tône,Concordant,12.018,23.071,241.732,11.391,12.301,32.973,518.413,532.107,,191.629,192.151,393.422
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ed8,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",True,True,0.2998383333333334,10.9316,Moov + Togocom,Tône 4,Tône,Concordant,12.143,36.094,240.668,12.458,12.987,11.105,514.17,529.636,,180.706,181.144,390.015
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ed9,Savanes,Tône,Tône 2,Naki-Ouest,"Moov, Togocom",True,True,0.092054188412981,10.906532035799557,Moov + Togocom,Tône 2,Tône,Concordant,12.041,23.07,241.73,11.414,12.322,32.997,518.414,532.105,,191.639,192.16,393.422
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7eda,Savanes,Oti-Sud,Oti-Sud 1,Mogou,Nsp,False,False,0.6441516325338709,10.383212723912587,Non renseigné,Oti-Sud 1,Oti-Sud,Concordant,12.449,77.725,178.159,12.441,42.168,63.013,445.446,462.829,,109.063,109.509,322.54
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7edb,Savanes,Oti,Oti 1,Faré,"Moov, Togocom",True,True,0.393440574095371,10.179847402403539,Moov + Togocom,Oti 1,Oti,Concordant,20.908,59.864,156.453,20.464,43.23,79.387,431.319,445.798,,110.493,111.405,306.58
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7edc,Savanes,Tône,Tône 2,Naki-Ouest,Moov,False,True,0.093792401455292,10.906098835317358,Moov seul,Tône 2,Tône,Concordant,11.845,23.183,241.642,11.218,12.126,32.806,518.307,532.012,,191.483,192.004,393.319
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7edd,Savanes,Tône,Tône 4,Korbongou,"Moov, Togocom",True,True,0.304640416586605,10.914779707853825,Moov + Togocom,Tône 4,Tône,Concordant,11.949,37.54,238.748,11.961,12.589,10.03,512.228,527.698,,178.847,179.287,388.074
_mview_tel_agents_mobile_money.fid-7111a9c0_193dca6021d_7ede,Savanes,Tône,Tône 1,Poissongui,Moov,False,True,0.2017616666666667,11.057391666666668,Moov seul,Tône 1,Tône,Concordant,19.308,20.669,256.003,4.235,20.817,27.771,530.654,545.592,,198.259,198.703,406.227
